NAICS,NAICS description,Size class,No. firms,No. establishments,No. employees,Total payroll,Total receipts
114111,Finfish Fishing,fewer than 20,1200,1200,1606,97348,872958
114111,Finfish Fishing,20 to 99,14,15,545,31344,272199
114111,Finfish Fishing,100 to 499,9,15,1403,95941,853583
114111,Finfish Fishing,more than 500,1,4,0,0,0
114111,Finfish Fishing,total,1224,1234,3959,248205,2208472
114112,Shellfish Fishing,fewer than 20,894,894,1009,53756,463366
114112,Shellfish Fishing,20 to 99,14,15,451,20071,128613
114112,Shellfish Fishing,100 to 499,2,2,0,0,0
114112,Shellfish Fishing,more than 500,1,1,0,0,0
114112,Shellfish Fishing,total,911,912,2063,88794,712598
114119,Other Marine Fishing,fewer than 20,41,41,59,2594,20264
114119,Other Marine Fishing,20 to 99,1,1,0,0,0
114119,Other Marine Fishing,total,42,42,93,4209,32803
114210,Hunting and Trapping,fewer than 20,287,287,885,24881,104386
114210,Hunting and Trapping,20 to 99,11,11,329,7925,24300
114210,Hunting and Trapping,100 to 499,4,4,0,0,0
114210,Hunting and Trapping,total,302,302,1652,49301,170026
311211,Flour Milling,fewer than 20,89,89,490,23119,470606
311211,Flour Milling,20 to 99,38,49,1629,75572,1572963
311211,Flour Milling,100 to 499,22,52,2914,157020,3340976
311211,Flour Milling,more than 500,16,112,5920,316465,10072736
311211,Flour Milling,total,165,302,10953,572176,15457281
311212,Rice Milling,fewer than 20,21,21,180,10097,127596
311212,Rice Milling,20 to 99,11,12,443,21048,338004
311212,Rice Milling,100 to 499,9,14,1148,55339,1189273
311212,Rice Milling,more than 500,9,21,0,84316,2077239
311212,Rice Milling,total,50,68,3631,170800,3732112
311213,Malt Manufacturing,fewer than 20,8,8,0,1382,20356
311213,Malt Manufacturing,20 to 99,3,3,102,3425,90319
311213,Malt Manufacturing,100 to 499,6,16,830,54802,919541
311213,Malt Manufacturing,more than 500,2,5,0,0,0
311213,Malt Manufacturing,total,19,32,1172,72502,1436586
311221,Wet Corn Milling,fewer than 20,15,15,0,3342,88476
311221,Wet Corn Milling,20 to 99,7,10,249,12328,243212
311221,Wet Corn Milling,100 to 499,3,9,513,32647,0
311221,Wet Corn Milling,more than 500,6,29,5833,439169,11576710
311221,Wet Corn Milling,total,31,63,6687,487486,12359066
311224,Soybean and Other Oilseed Processing,fewer than 20,49,49,298,11018,664532
311224,Soybean and Other Oilseed Processing,20 to 99,14,15,697,36313,1125280
311224,Soybean and Other Oilseed Processing,100 to 499,6,10,1021,53652,2961788
311224,Soybean and Other Oilseed Processing,more than 500,15,79,5877,337817,36500841
311224,Soybean and Other Oilseed Processing,total,84,153,7893,438800,41252441
311225,Fats and Oils Refining and Blending,fewer than 20,42,42,250,11979,244746
311225,Fats and Oils Refining and Blending,20 to 99,22,26,952,56753,1065730
311225,Fats and Oils Refining and Blending,100 to 499,11,14,0,0,0
311225,Fats and Oils Refining and Blending,more than 500,15,51,7202,349873,13952896
311225,Fats and Oils Refining and Blending,total,90,133,10104,504603,18219680
311230,Breakfast Cereal Manufacturing,fewer than 20,20,20,90,2494,39508
311230,Breakfast Cereal Manufacturing,20 to 99,3,3,193,8678,93433
311230,Breakfast Cereal Manufacturing,100 to 499,4,5,665,33834,279492
311230,Breakfast Cereal Manufacturing,more than 500,10,35,0,0,0
311230,Breakfast Cereal Manufacturing,total,37,63,0,0,0
311313,Beet Sugar Manufacturing,fewer than 20,2,2,0,0,0
