company_size,product_category,product_subcategory,NAICS,NAICS_description,reformulation_activity,cost_type,5th Percentile,Mean,95th Percentile
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,1. Determine response to regulation,Total Costs,147250.99199999997,218591.52000000002,321899.08800000005
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,1. Determine response to regulation,Per Formula Costs,1308.1999999999996,1942.0000000000002,2859.8
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,1. Determine response to regulation,Total Costs,1112354.1,2717503.25,5283206.61
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,1. Determine response to regulation,Per Formula Costs,3510,8575,16671
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,1. Determine response to regulation,Total Costs,57283.66,133627.48,252809.76
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,1. Determine response to regulation,Per Formula Costs,6107,14246,26952
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,1. Determine response to regulation,Total Costs,1316888.752,3069722.2500000005,5857915.458000001
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,1. Determine response to regulation,Per Formula Costs,3000.7719083969464,6994.923664122138,13348.331908396947
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,2. Project management,Total Costs,136760.4,334753.44,650371.68
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,2. Project management,Per Formula Costs,1215,2974,5778
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,2. Project management,Total Costs,4679493.0600000005,11279460.72,21754603.86
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,2. Project management,Per Formula Costs,14766,35592,68646
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,2. Project management,Total Costs,290658.06,667433.9,1252783.4200000002
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,2. Project management,Per Formula Costs,30986.999999999996,71155,133559
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,2. Project management,Total Costs,5106911.5200000005,12281648.060000002,23657758.96
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,2. Project management,Per Formula Costs,11637.032061068703,27985.98167938932,53908.531297709924
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,3. Product reformulation/process modification,Total Costs,318848.712,708452.64,1309444.248
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,3. Product reformulation/process modification,Per Formula Costs,2832.7,6294,11633.3
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,3. Product reformulation/process modification,Total Costs,7798426.207000001,17241488.55,31822295.813
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,3. Product reformulation/process modification,Per Formula Costs,24607.7,54405,100414.3
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,3. Product reformulation/process modification,Total Costs,560058.226,1226857.1,2251484.214
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,3. Product reformulation/process modification,Per Formula Costs,59707.7,130795,240030.3
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,3. Product reformulation/process modification,Total Costs,8677333.145000001,19176798.290000003,35383224.275000006
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,3. Product reformulation/process modification,Per Formula Costs,19772.890839694657,43697.84274809161,80627.14885496184
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,4. Packaging assessment,Total Costs,31933.272,68549.04000000001,128239.608
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,4. Packaging assessment,Per Formula Costs,283.7,609.0000000000001,1139.3
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,4. Packaging assessment,Total Costs,631506.557,1430214.83,2670695.643
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,4. Packaging assessment,Per Formula Costs,1992.7,4513,8427.3
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,4. Packaging assessment,Total Costs,39937.226,87731.14000000001,160203.834
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,4. Packaging assessment,Per Formula Costs,4257.7,9353,17079.3
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,4. Packaging assessment,Total Costs,703377.055,1586495.01,2959139.085
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,4. Packaging assessment,Per Formula Costs,1602.773282442748,3615.1190839694655,6742.939694656488
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,5. Packaging development,Total Costs,1136.856,2892.792,5802.468
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,5. Packaging development,Per Formula Costs,10.1,25.7,51.55
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,5. Packaging development,Total Costs,167122.48850000004,377820.1020000001,704174.02
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,5. Packaging development,Per Formula Costs,527.35,1192.2,2222
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,5. Packaging development,Total Costs,11474.554000000002,25213.440000000006,46227.92300000001
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,5. Packaging development,Per Formula Costs,1223.3000000000002,2688.0000000000005,4928.35
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,5. Packaging development,Total Costs,179733.8985,405926.33400000003,756204.4110000001
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,5. Packaging development,Per Formula Costs,409.5565648854962,924.9774045801527,1723.1500763358779
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,6. Product and package performance testing,Total Costs,338344.104,535954.4400000001,818772.6960000001
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,6. Product and package performance testing,Per Formula Costs,3005.9,4761.5,7274.100000000001
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,6. Product and package performance testing,Total Costs,5358916.409000001,11500188.535,20849540.591000002
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,6. Product and package performance testing,Per Formula Costs,16909.9,36288.5,65790.1
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,6. Product and package performance testing,Total Costs,338083.34,751581.88,1373616.58
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,6. Product and package performance testing,Per Formula Costs,36043,80126,146441
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,6. Product and package performance testing,Total Costs,6035343.853000001,12787724.855000002,23041929.867000002
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,6. Product and package performance testing,Per Formula Costs,13752.634961832062,29139.17022900764,52505.252061068706
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,7. Production scale-up testing,Total Costs,176944.32,374824.8,693819.84
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,7. Production scale-up testing,Per Formula Costs,1572,3330,6164
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,7. Production scale-up testing,Total Costs,8431073.64,18170351.76,33254317.03
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,7. Production scale-up testing,Per Formula Costs,26604,57336,104933
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,7. Production scale-up testing,Total Costs,603950.06,1283746.8,2328566.24
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,7. Production scale-up testing,Per Formula Costs,64387,136860,248248
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,7. Production scale-up testing,Total Costs,9211968.020000001,19828923.360000003,36276703.11
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,7. Production scale-up testing,Per Formula Costs,20991.154198473283,45183.82900763359,82663.10381679388
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,8. Recordkeeping,Total Costs,24875.760000000002,57293.04,108845.52
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,8. Recordkeeping,Per Formula Costs,221,509,967
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,8. Recordkeeping,Total Costs,6746696.99,14536344.79,26598573.21
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,8. Recordkeeping,Per Formula Costs,21289,45869,83931
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,8. Recordkeeping,Total Costs,525730.24,1142709.12,2090595.6400000001
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,8. Recordkeeping,Per Formula Costs,56047.99999999999,121824,222878
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,8. Recordkeeping,Total Costs,7297302.99,15736346.95,28798014.37
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,8. Recordkeeping,Per Formula Costs,16628.239694656488,35858.14503816794,65621.54351145038
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Analytical tests,Total Costs,0,0,0
