company_size,product_category,product_subcategory,NAICS,NAICS_description,brand_type,UPCs,Formulas,Units,5th Percentile,Mean,95th Percentile
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Branded,126.63000000000001,112.56,1946217.34,1176094.4160000002,2301311.712,4037195.1479999996
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Branded,255.27,204.35000000000002,32375591.26,23486149.85,51037577.29500001,93680068.32500002
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Branded,14.07,9.38,3249957.6100000003,2580337.6340000005,5551620.536,10050956.559000002
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Branded,395.97,326.29,37571766.21,27242581.900000006,58890509.54300001,107768220.032
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Private,0,0,0,0,0,0
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Private,136.68,112.56,12983543.41,12936633.36,28112501.592,51600824.52
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Private,0,0,0,0,0,0
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Private,136.68,112.56,12983543.41,12936633.36,28112501.592,51600824.52
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Branded,10.05,10.05,109934.94,138334.22999999998,282728.61000000004,506942.6025000001
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Branded,87.10000000000001,75.04,108725897.53,8624422.24,18741667.728,34400549.68000001
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Branded,109.88000000000001,100.5,257614780.91000003,27646474.650000002,59481648.6,107688820.27499999
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Branded,207.03000000000003,185.59,366450613.38,36409231.12,78506044.938,142596312.5575
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Private,0,0,0,0,0,0
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Private,34.17,30.150000000000002,1265987.78,3465169.6500000004,7530134.355,13821649.425
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Private,0,0,0,0,0,0
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Private,34.17,30.150000000000002,1265987.78,3465169.6500000004,7530134.355,13821649.425
Small Companies,Entrees,Entrees - refrigerated,311991,Perishable Prepared Food Manufacturing,Branded,899.1400000000001,866.98,6525382.590000001,11933632.908,24390054.756,43732248.508999996
Medium Companies,Entrees,Entrees - refrigerated,311991,Perishable Prepared Food Manufacturing,Branded,1833.1200000000001,1620.0600000000002,151543423.38,186195115.86000004,404619219.34200007,742683295.7700001
Large Companies,Entrees,Entrees - refrigerated,311991,Perishable Prepared Food Manufacturing,Branded,349.07,293.46000000000004,128132182.21000001,80727705.97800002,173686413.912,314451355.203
Total,Entrees,Entrees - refrigerated,311991,Perishable Prepared Food Manufacturing,Branded,3081.3300000000004,2780.5,286200988.18,278856454.746,602695688.01,1100866899.482
Small Companies,Entrees,Entrees - refrigerated,311991,Perishable Prepared Food Manufacturing,Private,0,0,0,0,0,0
Medium Companies,Entrees,Entrees - refrigerated,311991,Perishable Prepared Food Manufacturing,Private,1964.44,1772.8200000000002,161119174.60000002,203751975.42000002,442771900.07400006,812712986.19
Large Companies,Entrees,Entrees - refrigerated,311991,Perishable Prepared Food Manufacturing,Private,0,0,0,0,0,0
Total,Entrees,Entrees - refrigerated,311991,Perishable Prepared Food Manufacturing,Private,1964.44,1772.8200000000002,161119174.60000002,203751975.42000002,442771900.07400006,812712986.19
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Branded,497.81,462.3,2543993.35,6363374.579999999,13005516.059999999,23319359.715
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Branded,923.2600000000001,828.12,55293543.59,95176659.72,206827690.284,379634637.53999996
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Branded,316.91,285.42,248667693.37,78515988.006,168927882.02400002,305836249.581
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Branded,1737.9800000000002,1575.8400000000001,306505230.31,180056022.30600002,388761088.36800003,708790246.8359998
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Private,0,0,0,0,0,0
