sector_desc_drc,category,impact
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",impact potential/acid/kg so2 eq,0.004502660514295628
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",resource use/enrg/mj,5.809676370966645
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",impact potential/etox/ctue,33.514638962074706
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",impact potential/eutr/kg n eq,0.012527735769254427
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",impact potential/gcc/kg co2 eq,0.9439467774593919
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",chemical releases/haps/kg,7.829014059646058e-5
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",impact potential/hc/ctuh,1.7373359249641493e-10
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",impact potential/hnc/ctuh,2.840204071639067e-9
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",impact potential/hrsp/kg pm2.5 eq,0.008412273525197038
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",impact potential/htox/ctuh,3.014267562496539e-9
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",economic & social/jobs/jobs,2.9133526667767406e-6
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",resource use/land/m2*yr,2.91123404634903
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",chemical releases/metl/kg,2.7764347723022165e-7
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",resource use/mine/kg,0.2600434231811153
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",resource use/nren/mj,5.423774392160919
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",impact potential/ozon/kg cfc11 eq,1.1715367359459801e-7
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",chemical releases/pest/kg,3.9464982968390373e-4
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",resource use/ren/mj,0.38590197880572585
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",impact potential/smog/kg o3 eq,0.041402339035124205
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",economic & social/vadd/$,0.961147616042766
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us",resource use/watr/m3,0.05535139842350335
"1111b0/fresh wheat, corn, rice, and other grains/us",impact potential/acid/kg so2 eq,0.023987560863551433
"1111b0/fresh wheat, corn, rice, and other grains/us",resource use/enrg/mj,9.537928124436146
"1111b0/fresh wheat, corn, rice, and other grains/us",impact potential/etox/ctue,13.04344044660279
"1111b0/fresh wheat, corn, rice, and other grains/us",impact potential/eutr/kg n eq,0.03622267377789286
"1111b0/fresh wheat, corn, rice, and other grains/us",impact potential/gcc/kg co2 eq,2.7967966843999794
"1111b0/fresh wheat, corn, rice, and other grains/us",chemical releases/haps/kg,1.5904609780926325e-4
"1111b0/fresh wheat, corn, rice, and other grains/us",impact potential/hc/ctuh,6.422565620101309e-10
"1111b0/fresh wheat, corn, rice, and other grains/us",impact potential/hnc/ctuh,1.9147419183036546e-9
"1111b0/fresh wheat, corn, rice, and other grains/us",impact potential/hrsp/kg pm2.5 eq,0.011169185727448678
"1111b0/fresh wheat, corn, rice, and other grains/us",impact potential/htox/ctuh,2.557695969633636e-9
"1111b0/fresh wheat, corn, rice, and other grains/us",economic & social/jobs/jobs,4.928542503973152e-6
"1111b0/fresh wheat, corn, rice, and other grains/us",resource use/land/m2*yr,12.337941859719997
"1111b0/fresh wheat, corn, rice, and other grains/us",chemical releases/metl/kg,1.6995318451484817e-6
"1111b0/fresh wheat, corn, rice, and other grains/us",resource use/mine/kg,0.7210513163825265
"1111b0/fresh wheat, corn, rice, and other grains/us",resource use/nren/mj,8.9486684968655
"1111b0/fresh wheat, corn, rice, and other grains/us",impact potential/ozon/kg cfc11 eq,1.982013929394742e-7
"1111b0/fresh wheat, corn, rice, and other grains/us",chemical releases/pest/kg,6.802612647560059e-4
"1111b0/fresh wheat, corn, rice, and other grains/us",resource use/ren/mj,0.589259627570646
"1111b0/fresh wheat, corn, rice, and other grains/us",impact potential/smog/kg o3 eq,0.09151886264401991
"1111b0/fresh wheat, corn, rice, and other grains/us",economic & social/vadd/$,0.788038704919162
"1111b0/fresh wheat, corn, rice, and other grains/us",resource use/watr/m3,0.5329122461250535
"111200/fresh vegetables, melons, and potatoes/us",impact potential/acid/kg so2 eq,0.00887031949386416
"111200/fresh vegetables, melons, and potatoes/us",resource use/enrg/mj,5.73923283198893
"111200/fresh vegetables, melons, and potatoes/us",impact potential/etox/ctue,27.741936104583615
"111200/fresh vegetables, melons, and potatoes/us",impact potential/eutr/kg n eq,0.007487646471381197
"111200/fresh vegetables, melons, and potatoes/us",impact potential/gcc/kg co2 eq,0.86677979603182
"111200/fresh vegetables, melons, and potatoes/us",chemical releases/haps/kg,3.523822508907415e-4
"111200/fresh vegetables, melons, and potatoes/us",impact potential/hc/ctuh,1.9120347235043694e-10
"111200/fresh vegetables, melons, and potatoes/us",impact potential/hnc/ctuh,6.1524284400785694e-9
"111200/fresh vegetables, melons, and potatoes/us",impact potential/hrsp/kg pm2.5 eq,0.0019892410647079526
"111200/fresh vegetables, melons, and potatoes/us",impact potential/htox/ctuh,6.3299709390927014e-9
"111200/fresh vegetables, melons, and potatoes/us",economic & social/jobs/jobs,8.465059166405234e-6
"111200/fresh vegetables, melons, and potatoes/us",resource use/land/m2*yr,2.350350444018367
"111200/fresh vegetables, melons, and potatoes/us",chemical releases/metl/kg,2.845523867830567e-6
"111200/fresh vegetables, melons, and potatoes/us",resource use/mine/kg,0.2959229625950252
"111200/fresh vegetables, melons, and potatoes/us",resource use/nren/mj,5.202989947608076
"111200/fresh vegetables, melons, and potatoes/us",impact potential/ozon/kg cfc11 eq,7.79914261540017e-6
"111200/fresh vegetables, melons, and potatoes/us",chemical releases/pest/kg,0.0011311790600036548
"111200/fresh vegetables, melons, and potatoes/us",resource use/ren/mj,0.5362428843808527
"111200/fresh vegetables, melons, and potatoes/us",impact potential/smog/kg o3 eq,0.04046109487494034
"111200/fresh vegetables, melons, and potatoes/us",economic & social/vadd/$,1.1318271222734702
"111200/fresh vegetables, melons, and potatoes/us",resource use/watr/m3,0.639535296745749
111300/fresh fruits and tree nuts/us,impact potential/acid/kg so2 eq,0.004749633610098566
111300/fresh fruits and tree nuts/us,resource use/enrg/mj,3.8225997675706926
111300/fresh fruits and tree nuts/us,impact potential/etox/ctue,20.150857942579147
111300/fresh fruits and tree nuts/us,impact potential/eutr/kg n eq,0.0010123414663245713
111300/fresh fruits and tree nuts/us,impact potential/gcc/kg co2 eq,0.5573477359500042
111300/fresh fruits and tree nuts/us,chemical releases/haps/kg,7.612108486358969e-5
111300/fresh fruits and tree nuts/us,impact potential/hc/ctuh,2.096145200047407e-10
111300/fresh fruits and tree nuts/us,impact potential/hnc/ctuh,1.4221067278952241e-9
111300/fresh fruits and tree nuts/us,impact potential/hrsp/kg pm2.5 eq,0.0013626562338964077
111300/fresh fruits and tree nuts/us,impact potential/htox/ctuh,1.6320673169201086e-9
111300/fresh fruits and tree nuts/us,economic & social/jobs/jobs,1.1309033674322052e-5
111300/fresh fruits and tree nuts/us,resource use/land/m2*yr,2.5176924531607767
111300/fresh fruits and tree nuts/us,chemical releases/metl/kg,1.577323516604838e-5
111300/fresh fruits and tree nuts/us,resource use/mine/kg,0.13893485383008927
111300/fresh fruits and tree nuts/us,resource use/nren/mj,3.4739916889315645
111300/fresh fruits and tree nuts/us,impact potential/ozon/kg cfc11 eq,1.4279176349907189e-6
111300/fresh fruits and tree nuts/us,chemical releases/pest/kg,4.7847563489752004e-4
111300/fresh fruits and tree nuts/us,resource use/ren/mj,0.348608078639128
111300/fresh fruits and tree nuts/us,impact potential/smog/kg o3 eq,0.030364599134739715
111300/fresh fruits and tree nuts/us,economic & social/vadd/$,0.9644596319764778
111300/fresh fruits and tree nuts/us,resource use/watr/m3,0.47692064627289144
