Food,primary_loss,retail_loss,avoidable_consumer_loss,primary_weight,retail_weight,consumer_weight
Plain whole milk,0,12,20,44.74920563316358,44.74920563316358,39.37930095718394
2 percent milk,0,12,20,59.73124826752275,59.73124826752275,52.56349847542002
1 percent milk,0,12,20,24.863505982951942,24.863505982951942,21.87988526499771
Skim milk,0,12,20,24.78642655977225,24.78642655977225,21.81205537259958
Whole flavored milk,0,12,45,1.7182385992410676,1.7182385992410676,1.5120499673321395
Lowfat flavored milk,0,12,45,12.473157756397091,12.473157756397091,10.97637882562944
Buttermilk,0,12,18,1.509817497205221,1.509817497205221,1.3286393975405946
Yogurt,0,12,21,14.027444675119753,14.027444675119753,12.344151314105382
Cheddar cheese,0,6,11,9.58639254932863,9.58639254932863,9.011208996368913
Other American cheese,0,6,28,3.6590862620913422,3.6590862620913422,3.4395410863658618
Provolone cheese,0,6,14,0.6896013962980144,0.6896013962980144,0.6482253125201336
Romano cheese,0,6,8,0.13943090707546252,0.13943090707546252,0.13106505265093477
Parmesan cheese,0,6,8,0.4451630161404453,0.4451630161404453,0.4184532351720186
Mozarella cheese,0,6,31,10.683132903143479,10.683132903143479,10.04214492895487
Ricotta cheese,0,6,12,0.8928257603194928,0.8928257603194928,0.8392562147003232
Other Italian cheese,0,6,16,3.111637215530142,3.111637215530142,2.9249389825983334
Swiss cheese,0,6,50,1.092164015404962,1.092164015404962,1.0266341744806644
Brick cheese,0,6,40,0.037090802697977536,0.037090802697977536,0.03486535453609888
Muenster cheese,0,6,35,0.45445148848802697,0.45445148848802697,0.42718439917874534
Blue cheese,0,6,43,0.3036633926358564,0.3036633926358564,0.285443589077705
Other miscellaneous cheese,0,6,42,1.276433445299662,1.276433445299662,1.1998474385816822
Regular cottage cheese,0,12,31,1.0282025754406656,1.0282025754406656,0.9048182663877857
Lowfat cottage cheese,0,12,4,1.228307593990226,1.228307593990226,1.0809106827113988
Ice cream,0,12,24,12.798922181560181,12.798922181560181,11.26305151977296
Ice milk,0,12,24,6.792039936889613,6.792039936889613,5.976995144462859
Other frozen,0,12,33,3.3457590914684947,3.3457590914684947,2.944268000492275
Evap cond canned whole milk,0,12,15,1.4175351061286383,1.4175351061286383,1.2474308933932017
Evap cond bulk whole milk,0,12,15,0.5836226238905763,0.5836226238905763,0.5135879090237071
Evap cond skim milk,0,12,15,5.336743590776394,5.336743590776394,4.696334359883227
Dry whole milk,0,1,41,0.16729170708048383,0.16729170708048383,0.165618790009679
Nonfat dry milk,0,1,41,3.616265466436287,3.616265466436287,3.5801028117719245
