"","420000","452000","4A0000","493000","445000","722110","722211","722A00","481000","482000","483000","484000","485000","48A000","512100","611100","611A00","611B00","622000","623A00","623B00","624100","624400","624A00","711100","711200","711A00","712000","713100","713200","713900","721000","813100","813A00","813B00","S00102","S00203","S00500","S00700"
"1111A0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1111B0",1163,200,2,0,728,0,1,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,193
"111200",0,0,14,0,17,189,120,17,0,0,0,0,0,65,0,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,0,3,0,0,0,230
"111300",0,0,0,0,0,5,6,5,0,0,0,0,0,15,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,40
"111400",48,0,440,0,431,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,22,9,0,37,0,7,0,0,0,2084
"111900",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,97
"112120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"1121A0",383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112300",18,32,0,0,116,15,31,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,327
"112A00",154,1,0,0,0,257,467,81,0,0,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,35,217,2,0,0,0,0,0,7,70
"114000",0,0,0,0,657,1894,974,111,0,0,0,0,0,3,0,40,12,0,0,0,0,0,0,0,0,0,0,0,14,18,109,350,63,0,74,7,0,0,379
"311210",0,265,2,0,850,15,21,1,0,0,2,0,0,0,0,2,13,0,61,29,7,15,15,4,0,0,0,0,0,0,5,15,8,0,5,25,0,0,86
